age,state,education_level,employment_type,employment_stability_months,monthly_income,monthly_rent,monthly_cashflow,rent_payment_consistency,utility_payment_consistency,phone_payment_consistency,insurance_payment_consistency,num_subscriptions,subscription_payment_consistency,minimum_bank_balance,monthly_savings,savings_goal_completion_rate,p2p_monthly_volume,risky_p2p_ratio,monthly_overdrafts,credit_score,loan_approval
23,AZ,bachelors,self_employed,24,2769,966,1462,0.899,0.914,1.0,0.773,7,0.635,208,44,0.0,61,0.323,2,587,No
25,FL,bachelors,self_employed,22,2366,1141,339,0.833,0.772,0.861,0.98,4,0.507,244,23,0.422,70,0.188,2,599,No
18,TN,graduate,self_employed,11,2975,691,1790,0.676,0.581,0.644,0.51,7,0.557,168,220,0.292,54,0.146,2,543,No
24,IN,some_college,self_employed,4,3041,1010,1907,0.652,0.775,0.728,0.515,6,0.653,340,290,0.449,212,0.288,2,525,No
19,MA,graduate,self_employed,23,2120,402,1222,0.776,0.767,0.792,0.897,4,0.853,255,138,0.339,135,0.336,2,572,No
19,NC,some_college,self_employed,10,2915,630,2227,0.831,0.702,0.742,0.831,4,0.798,386,512,0.424,479,0.307,2,556,No
19,NJ,graduate,self_employed,16,3024,440,2634,0.741,0.599,0.603,0.908,0,1.0,354,177,0.0,774,0.153,2,562,No
24,TN,high_school,self_employed,10,3100,903,2268,0.639,0.589,0.6,0.568,2,0.665,370,163,0.411,563,0.111,4,528,No
24,AZ,graduate,self_employed,2,2853,401,1882,0.522,0.527,0.6,0.711,7,0.88,200,258,0.531,448,0.364,3,550,No
21,MO,bachelors,self_employed,15,3253,562,2622,0.505,0.478,0.6,0.639,1,0.731,200,545,0.415,733,0.188,4,530,No
21,WA,some_college,self_employed,25,2735,964,1816,0.576,0.606,0.6,0.5,1,0.638,352,188,0.468,519,0.18,3,548,No
25,VA,graduate,unemployed,1,2104,857,627,0.633,0.712,0.761,0.587,5,0.935,311,37,0.049,105,0.113,3,514,No
20,IN,some_college,unemployed,1,2814,437,2470,0.886,0.836,0.751,0.822,7,0.55,396,9,0.0,670,0.391,3,532,No
19,NJ,graduate,unemployed,0,2472,1090,1076,0.751,0.867,0.854,0.855,8,0.518,140,169,0.568,116,0.324,3,521,No
19,CA,bachelors,unemployed,1,2708,570,1505,0.518,0.607,0.6,0.566,5,0.715,201,155,0.315,92,0.151,2,524,No
20,MA,bachelors,unemployed,1,2275,872,1149,0.602,0.455,0.6,0.585,4,0.839,149,126,0.128,300,0.19,2,525,No
24,WA,some_college,unemployed,1,2789,509,1300,0.729,0.751,0.8,0.839,6,0.637,297,222,0.49,25,0.373,2,549,No
23,WI,some_college,unemployed,1,2248,1051,1000,0.6,0.677,0.603,0.531,1,0.952,257,77,0.119,296,0.209,2,524,No
21,IN,bachelors,unemployed,0,2070,952,513,0.701,0.632,0.6,0.845,7,0.984,164,111,0.618,119,0.389,3,562,No
24,TX,bachelors,unemployed,0,3447,970,1354,0.816,0.67,0.6,0.805,7,0.684,430,88,0.06,326,0.382,3,558,No
23,MA,high_school,unemployed,1,3049,626,1424,0.864,0.804,0.732,0.812,2,0.523,163,354,0.268,120,0.366,4,520,No
24,AZ,some_college,unemployed,1,3002,1160,1686,0.762,0.862,0.958,0.78,4,0.516,261,186,0.492,437,0.209,4,520,No
23,OH,bachelors,unemployed,0,1924,807,45,0.887,1.0,1.0,0.715,3,0.821,211,0,0.183,3,0.397,3,526,No
21,PA,bachelors,gig,1,3465,1677,1684,0.815,0.844,0.747,0.851,2,0.994,360,336,0.165,443,0.108,1,555,No
22,IN,graduate,gig,5,1907,953,591,0.545,0.415,0.6,0.554,5,0.757,116,74,0.519,11,0.318,2,574,No
18,AZ,graduate,gig,2,1924,962,0,0.774,0.772,0.791,0.756,1,0.661,124,0,0.138,0,0.214,3,549,No
19,AZ,some_college,gig,3,3424,1434,1790,0.681,0.599,0.6,0.507,7,0.699,421,139,0.044,261,0.212,3,534,No
19,PA,bachelors,gig,2,2684,1342,642,0.723,0.748,0.793,0.763,5,0.835,244,140,0.701,108,0.36,2,535,No
21,FL,some_college,gig,5,2116,1058,1021,0.64,0.657,0.743,0.547,4,0.787,276,215,0.707,285,0.108,2,532,No
22,IL,high_school,gig,2,2495,1247,209,0.848,0.868,0.836,0.773,2,0.87,367,4,0.064,24,0.226,2,536,No
19,WI,some_college,gig,5,1907,953,478,0.52,0.4,0.6,0.591,6,0.743,179,32,0.29,29,0.204,2,480,No
22,WI,graduate,gig,5,1893,946,816,0.522,0.433,0.6,0.5,2,0.882,149,24,0.058,110,0.153,3,562,No
23,AZ,high_school,gig,4,1947,973,543,0.507,0.634,0.6,0.5,6,0.787,235,56,0.0,5,0.39,3,528,No
19,AZ,some_college,part_time,6,2694,1347,1133,0.736,0.743,0.745,0.676,4,0.873,194,220,0.135,324,0.134,4,540,No
20,NC,some_college,part_time,6,2283,1141,546,0.579,0.61,0.707,0.725,7,0.732,242,79,0.398,144,0.293,3,537,No
20,MA,graduate,part_time,2,2700,1339,964,0.753,0.841,0.914,0.799,8,0.537,259,9,0.0,146,0.123,3,544,No
25,MA,high_school,part_time,11,2988,1494,931,0.864,0.885,0.802,0.733,7,0.751,435,104,0.412,175,0.395,2,582,No
25,VA,some_college,part_time,5,2699,1349,1025,0.649,0.584,0.62,0.55,5,0.839,149,161,0.216,168,0.128,4,538,No
20,VA,some_college,part_time,9,2482,1241,272,0.624,0.671,0.705,0.569,1,0.655,217,53,0.584,67,0.128,2,553,No
20,OH,graduate,part_time,3,2238,1119,642,0.591,0.482,0.6,0.63,1,0.754,232,118,0.385,169,0.201,1,525,No
20,MA,some_college,part_time,8,3218,1609,1658,0.517,0.477,0.6,0.679,7,0.805,403,324,0.232,122,0.193,2,530,No
25,IN,graduate,part_time,2,2745,1372,1289,0.711,0.851,0.854,0.625,2,0.937,151,154,0.163,52,0.313,3,553,No
22,AZ,some_college,part_time,1,2720,1360,1104,0.537,0.66,0.635,0.5,5,0.965,248,109,0.123,197,0.398,1,525,No
23,NY,some_college,part_time,9,3420,1499,1856,0.615,0.714,0.759,0.584,7,0.724,172,36,0.0,153,0.265,3,542,No
22,AZ,some_college,full_time,15,2049,1024,374,0.756,0.792,0.693,0.652,7,0.798,105,48,0.103,18,0.187,2,589,Yes
19,IN,high_school,full_time,6,2872,1436,784,0.718,0.804,0.775,0.656,0,0.695,278,124,0.606,64,0.324,3,570,No
19,PA,bachelors,full_time,13,3380,1690,1661,0.518,0.532,0.6,0.5,7,0.99,330,75,0.0,366,0.333,3,538,No
18,MO,graduate,full_time,18,2446,1223,620,0.689,0.55,0.6,0.847,5,0.931,133,101,0.192,94,0.231,2,579,No
20,IN,bachelors,full_time,18,2816,1408,354,0.607,0.481,0.6,0.648,6,0.801,372,48,0.165,10,0.198,2,562,No
25,VA,high_school,full_time,18,2519,1259,578,0.746,0.726,0.762,0.56,6,0.682,327,98,0.611,36,0.355,1,612,Yes
23,WI,high_school,full_time,4,2541,1270,572,0.561,0.546,0.638,0.656,7,0.882,272,75,0.204,166,0.184,2,534,No
24,NC,bachelors,full_time,25,2950,1441,1227,0.782,0.696,0.614,0.969,7,0.6,187,22,0.0,365,0.234,4,577,No
23,MI,bachelors,full_time,15,3253,1332,1855,0.841,0.904,0.915,0.828,5,0.754,202,93,0.0,505,0.108,4,602,Yes
20,MI,high_school,full_time,15,3053,1376,1025,0.659,0.724,0.76,0.511,6,0.885,404,18,0.32,37,0.235,3,565,No
20,IN,graduate,self_employed,4,3372,1464,1611,0.864,0.731,0.688,0.765,2,0.652,223,376,0.303,481,0.256,3,533,No
22,WI,bachelors,self_employed,4,2056,1028,762,0.713,0.714,0.787,0.532,2,0.586,231,171,0.354,144,0.112,3,533,No
22,WI,graduate,self_employed,15,3133,1566,605,0.756,0.755,0.687,0.749,4,0.741,408,103,0.221,18,0.307,2,573,No
20,WA,bachelors,self_employed,21,2440,1220,53,0.552,0.513,0.6,0.52,5,0.621,151,5,0.009,1,0.187,4,572,No
20,OH,bachelors,self_employed,13,3466,1733,984,0.805,0.805,0.748,0.625,7,0.94,345,22,0.0,234,0.39,2,560,No
25,FL,high_school,self_employed,19,2385,1192,901,0.672,0.787,0.788,0.584,6,0.683,214,128,0.102,147,0.122,4,545,No
19,VA,graduate,self_employed,18,2063,1031,731,0.818,0.77,0.83,0.801,2,0.6,208,91,0.0,35,0.314,3,556,No
20,IL,bachelors,self_employed,23,2471,1235,837,0.657,0.692,0.666,0.501,5,0.754,249,102,0.283,121,0.345,2,543,Yes
22,WI,high_school,self_employed,3,3431,1715,1015,0.69,0.83,0.866,0.719,3,0.861,371,43,0.163,194,0.144,3,523,No
21,AZ,bachelors,self_employed,17,1838,919,312,0.561,0.618,0.717,0.571,7,0.936,227,4,0.0,26,0.268,2,539,No
20,MO,bachelors,self_employed,24,2741,1370,1025,0.642,0.723,0.764,0.724,7,0.596,204,143,0.114,152,0.331,2,548,No
23,FL,bachelors,self_employed,10,2947,1473,1208,0.729,0.742,0.731,0.828,5,0.977,384,87,0.018,40,0.204,2,559,No
22,FL,some_college,unemployed,0,2951,1475,579,0.746,0.772,0.826,0.932,8,0.613,216,14,0.0,120,0.13,4,551,No
20,OH,graduate,unemployed,0,2633,1316,986,0.802,0.739,0.674,0.976,0,0.954,155,141,0.308,19,0.374,1,527,No
24,MI,some_college,unemployed,1,3413,1706,1043,0.851,0.703,0.791,0.76,1,0.964,284,118,0.312,268,0.248,3,522,No
23,IL,bachelors,unemployed,0,2132,1066,645,0.506,0.457,0.6,0.5,3,0.588,289,144,0.645,131,0.198,1,550,No
23,WA,bachelors,unemployed,1,2308,1154,426,0.594,0.67,0.651,0.67,0,0.631,198,25,0.219,119,0.192,3,549,No
22,GA,some_college,unemployed,0,2552,1276,876,0.883,0.876,0.912,0.893,5,0.708,267,103,0.258,111,0.329,3,525,No
23,NY,high_school,unemployed,1,1959,979,659,0.832,0.952,0.95,0.955,8,0.575,162,85,0.03,52,0.315,2,546,No
24,MO,high_school,unemployed,0,2735,1367,1051,0.685,0.777,0.785,0.859,4,0.908,340,151,0.016,176,0.31,1,547,No
25,IL,graduate,unemployed,1,1864,932,185,0.808,0.887,0.814,0.655,6,0.724,264,17,0.0,42,0.362,4,579,No
24,CA,some_college,unemployed,0,2883,1441,957,0.802,0.946,1.0,0.615,8,0.712,253,54,0.091,79,0.183,3,522,No
18,FL,high_school,unemployed,0,2292,1146,647,0.738,0.722,0.82,0.864,0,0.701,168,35,0.327,14,0.142,3,565,No
23,GA,bachelors,unemployed,1,2982,1491,484,0.621,0.514,0.6,0.5,6,0.65,167,114,0.702,44,0.288,2,564,No
24,AZ,bachelors,gig,3,3409,1704,1589,0.663,0.603,0.6,0.85,8,0.737,459,119,0.275,412,0.239,3,578,No
20,OH,bachelors,gig,4,2595,1297,1005,0.632,0.506,0.6,0.722,5,0.546,317,47,0.0,20,0.362,3,570,No
25,CA,bachelors,gig,3,2227,1113,1058,0.585,0.492,0.6,0.571,7,0.957,266,186,0.29,122,0.266,3,533,Yes
22,MA,graduate,gig,4,2335,1167,767,0.539,0.684,0.6,0.713,5,0.957,203,79,0.244,56,0.322,3,529,No
24,NJ,some_college,gig,1,2404,1202,762,0.592,0.613,0.611,0.685,8,0.827,284,49,0.322,185,0.293,2,564,No
20,IL,graduate,gig,1,3275,1637,1414,0.867,0.879,0.948,0.694,0,0.92,188,289,0.138,3,0.224,1,553,No
21,NY,bachelors,gig,4,2835,1417,899,0.747,0.797,0.754,0.872,7,0.508,292,92,0.0,140,0.261,3,522,No
20,GA,some_college,gig,0,2019,1009,221,0.577,0.585,0.65,0.638,6,0.54,294,25,0.075,28,0.19,4,575,No
18,WA,graduate,gig,1,1991,995,1006,0.721,0.588,0.672,0.606,2,0.541,267,162,0.221,48,0.368,4,538,No
25,NC,high_school,gig,4,2355,1177,628,0.86,0.879,0.839,0.756,5,0.508,166,22,0.265,101,0.379,4,529,No
24,WA,bachelors,gig,2,3186,1593,1325,0.802,0.694,0.713,0.614,5,0.527,298,277,0.324,393,0.284,2,528,No
25,MO,bachelors,gig,5,2804,1402,779,0.876,0.856,0.832,0.738,6,0.543,313,155,0.527,21,0.18,2,558,No
19,MA,bachelors,part_time,10,1987,993,248,0.644,0.575,0.6,0.758,2,0.715,210,31,0.018,11,0.206,4,520,No
18,TX,graduate,part_time,5,2397,1198,836,0.79,0.808,0.741,0.758,8,0.585,211,29,0.0,126,0.144,2,539,No
19,TN,some_college,part_time,11,2539,1269,599,0.738,0.646,0.632,0.927,4,0.503,227,126,0.349,84,0.232,1,564,No
23,NJ,graduate,part_time,10,3035,1517,790,0.571,0.541,0.6,0.5,7,0.984,389,64,0.031,201,0.218,4,534,No
20,MA,high_school,part_time,3,3196,1598,1451,0.877,0.79,0.741,0.963,1,0.909,414,148,0.204,324,0.191,3,543,No
19,MD,graduate,part_time,4,2719,1359,788,0.66,0.662,0.6,0.723,0,0.895,233,176,0.47,163,0.374,2,532,No
18,AZ,bachelors,part_time,9,2953,1476,1072,0.542,0.422,0.6,0.5,8,0.779,350,59,0.035,237,0.332,4,522,No
25,TX,graduate,part_time,6,2014,1007,518,0.546,0.679,0.718,0.5,4,0.672,258,67,0.17,24,0.231,1,564,No
19,IL,high_school,part_time,11,1846,923,0,0.872,0.944,0.881,0.845,8,0.58,195,0,0.318,0,0.289,1,575,No
21,WA,graduate,part_time,8,2720,1360,1145,0.502,0.416,0.6,0.513,1,0.789,353,153,0.188,100,0.237,3,535,No
24,VA,high_school,part_time,12,3051,1525,1483,0.641,0.628,0.6,0.5,4,0.959,332,249,0.224,122,0.192,2,544,Yes
20,IL,graduate,full_time,19,2977,1488,1180,0.695,0.706,0.796,0.549,2,0.745,190,92,0.128,27,0.36,3,574,No
25,MA,graduate,full_time,19,2637,1318,1402,0.695,0.57,0.625,0.715,3,0.646,204,188,0.07,234,0.27,1,599,Yes
19,MO,bachelors,full_time,12,2348,1174,582,0.829,0.692,0.6,0.768,3,0.995,141,120,0.566,76,0.362,3,575,No
25,MD,some_college,full_time,26,2040,1020,51,0.776,0.884,0.818,0.693,2,0.892,267,10,0.445,8,0.279,3,607,Yes
19,NC,high_school,full_time,24,2077,1038,459,0.847,0.735,0.761,0.813,2,0.856,275,87,0.486,125,0.143,2,600,No
19,VA,bachelors,full_time,17,2625,1312,20,0.682,0.678,0.658,0.812,1,0.865,251,3,0.247,0,0.339,2,576,No
23,MO,bachelors,full_time,9,3496,1748,1359,0.731,0.751,0.837,0.708,5,0.947,441,15,0.099,235,0.105,1,600,Yes
24,IL,bachelors,full_time,28,2214,1107,982,0.85,0.963,1.0,0.743,5,0.625,193,221,0.251,202,0.288,3,612,No
19,TX,graduate,full_time,6,1802,901,0,0.553,0.471,0.6,0.645,0,0.848,237,0,0.447,0,0.243,1,564,No
23,WA,some_college,full_time,8,2552,1276,1096,0.809,0.885,0.911,0.977,2,0.534,271,167,0.104,179,0.317,3,583,No
25,PA,high_school,full_time,13,2244,1122,388,0.801,0.828,0.872,0.913,6,0.657,143,26,0.0,70,0.28,3,595,Yes
22,WA,some_college,full_time,8,2220,1110,671,0.618,0.485,0.6,0.573,6,0.556,221,99,0.314,3,0.396,4,542,No
23,TX,graduate,self_employed,24,2918,1459,711,0.507,0.4,0.6,0.5,0,0.961,422,70,0.071,182,0.25,3,535,No
20,TX,bachelors,self_employed,9,2368,1184,874,0.705,0.615,0.603,0.528,5,0.695,268,182,0.526,33,0.193,1,551,No
24,MI,high_school,self_employed,10,2037,1018,262,0.766,0.814,0.878,0.633,0,0.854,244,10,0.354,66,0.255,1,577,No
22,NJ,high_school,self_employed,5,3301,1650,1155,0.823,0.754,0.705,0.981,1,0.748,333,16,0.243,85,0.21,3,532,No
19,NY,high_school,self_employed,25,2267,1133,870,0.843,0.697,0.647,0.771,5,0.691,147,202,0.68,214,0.167,3,567,No
23,IL,high_school,self_employed,13,2044,1022,1251,0.589,0.594,0.6,0.5,6,0.534,197,88,0.348,167,0.126,3,540,No
22,VA,graduate,self_employed,24,3314,1657,1507,0.737,0.735,0.762,0.888,8,0.88,246,2,0.0,119,0.262,4,559,No
18,FL,bachelors,self_employed,24,3354,1677,1051,0.582,0.727,0.731,0.74,0,0.986,215,73,0.0,118,0.369,2,543,No
19,WA,some_college,self_employed,4,2989,1494,1028,0.53,0.55,0.6,0.707,2,0.618,227,80,0.338,167,0.195,1,568,No
19,MA,some_college,self_employed,24,2118,1059,177,0.686,0.658,0.724,0.728,3,0.726,204,37,0.18,51,0.306,2,543,No
23,VA,some_college,self_employed,6,2103,1051,312,0.658,0.523,0.6,0.507,2,0.516,190,35,0.375,31,0.128,1,545,No
20,TX,bachelors,unemployed,1,2205,1102,349,0.733,0.661,0.6,0.553,1,0.599,252,70,0.16,103,0.199,4,554,No
24,CA,graduate,unemployed,1,3482,1741,898,0.653,0.631,0.631,0.5,2,0.637,329,33,0.143,125,0.294,2,525,No
20,MO,some_college,unemployed,0,2658,1329,753,0.818,0.965,0.929,0.63,8,0.891,224,106,0.176,69,0.154,3,551,No
22,MD,bachelors,unemployed,1,1919,959,411,0.9,1.0,1.0,0.842,3,0.633,252,94,0.192,121,0.166,4,523,No
20,VA,bachelors,unemployed,0,2160,1080,990,0.866,0.724,0.659,0.702,2,0.782,148,244,0.723,252,0.263,2,520,Yes
21,CA,graduate,unemployed,1,1840,920,435,0.633,0.667,0.736,0.817,2,0.959,247,35,0.0,36,0.332,2,562,No
24,MI,bachelors,unemployed,0,3000,1500,1163,0.629,0.772,0.716,0.58,7,0.825,202,281,0.601,314,0.336,3,537,No
22,MD,high_school,unemployed,0,2060,1030,0,0.657,0.805,0.733,0.552,2,0.801,292,0,0.316,0,0.381,4,578,No
20,MA,bachelors,unemployed,1,3102,1551,1140,0.505,0.417,0.6,0.657,4,0.894,378,13,0.0,214,0.391,2,522,No
24,IL,some_college,unemployed,0,2007,1003,571,0.681,0.77,0.685,0.616,0,0.659,291,10,0.0,96,0.148,4,558,No
18,WI,some_college,gig,1,4383,1069,2850,0.856,0.753,0.709,0.694,3,0.987,597,537,0.632,553,0.18,1,556,No
25,CA,bachelors,gig,3,3814,455,2372,0.671,0.609,0.6,0.829,1,0.513,383,291,0.0,118,0.193,1,526,No
24,VA,graduate,gig,4,3878,779,2425,0.575,0.438,0.6,0.54,4,0.613,447,158,0.282,683,0.129,2,522,No
21,IN,graduate,gig,4,4633,462,3571,0.667,0.678,0.681,0.738,3,0.738,402,984,0.68,1028,0.271,2,546,No
19,IL,graduate,gig,5,5444,1175,4180,0.88,0.78,0.731,1.0,3,0.563,754,1241,0.555,302,0.35,1,570,No
24,NC,bachelors,gig,0,4639,806,3926,0.708,0.833,0.846,0.822,8,0.891,426,343,0.215,205,0.377,2,539,No
23,WA,bachelors,gig,5,5297,820,3331,0.762,0.784,0.859,0.657,2,0.638,511,673,0.521,39,0.219,2,557,No
22,NJ,high_school,gig,2,5337,781,4432,0.827,0.768,0.756,0.735,7,0.929,948,1299,0.423,615,0.392,1,556,No
19,AZ,some_college,gig,4,3884,852,2790,0.796,0.874,0.879,0.608,0,0.758,383,356,0.26,138,0.334,1,534,No
21,NY,some_college,gig,3,5214,459,4132,0.683,0.808,0.806,0.554,5,0.912,786,862,0.192,62,0.173,2,532,No
23,TX,bachelors,gig,5,4205,567,3646,0.614,0.58,0.653,0.5,3,0.929,723,800,0.3,838,0.254,2,523,No
20,NC,some_college,part_time,2,4731,408,3775,0.743,0.876,0.856,0.546,6,0.926,680,394,0.09,1066,0.347,2,537,No
23,MI,bachelors,part_time,4,4649,1062,2826,0.774,0.768,0.772,0.934,5,0.931,530,643,0.691,305,0.157,2,582,No
24,CA,some_college,part_time,11,4852,727,4088,0.762,0.911,0.954,0.776,6,0.702,900,800,0.688,388,0.203,2,604,No
23,MO,some_college,part_time,4,4538,707,3758,0.572,0.452,0.6,0.67,4,0.863,720,1045,0.824,687,0.296,1,551,No
23,MA,bachelors,part_time,3,4261,666,2892,0.84,0.832,0.742,0.695,1,0.736,443,231,0.268,542,0.19,1,568,No
24,NJ,some_college,part_time,10,4666,868,3515,0.845,0.749,0.804,0.951,5,0.816,473,733,0.12,560,0.163,1,594,No
19,AZ,graduate,part_time,11,3765,1029,1648,0.661,0.801,0.739,0.5,0,0.767,695,473,0.81,387,0.35,2,583,No
21,PA,bachelors,part_time,11,4920,752,3326,0.541,0.542,0.6,0.739,1,0.912,589,408,0.382,610,0.257,1,578,No
25,IL,some_college,part_time,11,4235,1168,1973,0.879,1.0,0.973,0.996,3,0.612,943,202,0.0,516,0.151,1,623,Yes
22,WI,high_school,part_time,1,5079,947,3461,0.898,0.946,0.984,0.818,1,0.708,670,646,0.358,313,0.162,2,583,No
22,AZ,some_college,part_time,12,4775,1020,3224,0.832,0.714,0.654,0.796,1,0.892,714,652,0.571,851,0.257,1,605,No
25,NJ,graduate,part_time,5,5364,612,4889,0.594,0.448,0.6,0.652,1,0.918,940,426,0.0,1047,0.123,1,545,No
22,IL,high_school,full_time,9,4450,451,3751,0.85,0.955,0.988,0.781,5,0.713,411,985,0.76,19,0.356,2,614,Yes
22,VA,high_school,full_time,5,5299,1150,3448,0.826,0.731,0.77,1.0,7,0.636,704,905,0.705,341,0.134,2,591,No
19,MD,graduate,full_time,7,4352,1004,3057,0.771,0.676,0.76,0.926,5,0.806,889,825,0.676,913,0.139,1,627,No
19,CA,bachelors,full_time,27,4035,1070,2416,0.782,0.835,0.822,0.681,3,0.989,708,325,0.283,717,0.285,1,618,Yes
24,CA,high_school,full_time,24,3804,971,2525,0.757,0.654,0.6,0.709,7,0.935,328,436,0.19,284,0.115,2,583,Yes
19,TX,graduate,full_time,24,4440,854,3274,0.843,0.827,0.919,0.764,0,0.551,607,619,0.079,93,0.338,2,610,Yes
21,NJ,graduate,full_time,28,4840,1087,3689,0.645,0.512,0.6,0.709,7,0.666,920,737,0.53,744,0.315,1,607,Yes
23,MO,bachelors,full_time,33,5199,1048,4323,0.709,0.769,0.707,0.85,2,0.746,1030,1018,0.417,520,0.283,1,622,No
21,AZ,high_school,full_time,33,4967,746,4185,0.519,0.559,0.6,0.5,7,0.729,811,736,0.63,8,0.259,2,581,Yes
20,PA,some_college,full_time,18,4916,992,3411,0.541,0.589,0.683,0.663,6,0.709,817,761,0.295,814,0.389,1,575,No
22,MO,bachelors,full_time,14,5226,1118,3814,0.753,0.663,0.702,0.837,5,0.961,495,868,0.74,364,0.251,2,615,No
25,MO,graduate,self_employed,6,4693,984,3531,0.614,0.719,0.755,0.75,1,0.513,454,768,0.255,329,0.395,2,554,No
22,VA,high_school,self_employed,14,3917,1171,2356,0.826,0.706,0.616,0.781,3,0.871,623,257,0.389,294,0.308,2,575,No
23,CA,high_school,self_employed,25,5478,965,4209,0.797,0.708,0.648,0.983,3,0.956,989,891,0.577,1119,0.322,1,600,No
20,IL,some_college,self_employed,3,4898,476,4119,0.794,0.68,0.767,0.656,4,0.778,462,807,0.245,676,0.24,1,528,No
